repo_name,repo_name_meta,repo_version,comp_num,comp_bench,matched_comps,author_score,license_score,version_score
Awesome-AutoDL,0.0,0.0,5,1,0,0.0,0.0,0.0
BDFProxy,0,0.0,0,2,0,0.0,0.0,0.0
CloserLookFewShot,0,0.0,0,6,0,0.0,0.0,0.0
DXY-COVID-19-Crawler,0.0,0.0,10,5,4,0.0,0.0,0.25
DashDoc,0,0.0,0,1,0,0.0,0.0,0.0
Depix,0.5111111111111111,0.0,3,2,2,0.19462116830537882,0.0,0.0
Firefly,0.0,0.0,9,10,5,0.4830169830169829,0.4,0.0
Flask-SocketIO,1.0,0.9142857142857141,23,23,16,0.0,0.0,0.8125
Flat-Lattice-Transformer,0,0.0,0,5,0,0.0,0.0,0.0
GetOldTweets-python,0.0,0.0,1,4,0,0.0,0.0,0.0
GitGot,0.0,0.0,3,5,3,0.3333333333333333,0.6666666666666666,0.0
IbPy,0.0,0.0,6,3,1,0.8148148148148149,0.5,0.0
ML-GCN,0,0.0,0,6,0,0.0,0.0,0.0
MicrocodeDecryptor,0,0.0,0,2,0,0.0,0.0,0.0
PythonCrawler,0,0.0,0,10,0,0.0,0.0,0.0
RepVGG,0,0.0,0,10,0,0.0,0.0,0.0
SublimeText-Nodejs,0.0,0.9249999999999999,18,8,1,0.0,0.0,0.8099999999999999
Swar-Chia-Plot-Manager,0.4595959595959596,0.0,9,9,6,0.7872053937135289,0.5833333333333334,1.0
Wav2Lip,0.4920634920634921,0.0,8,11,8,0.24444477348608704,0.1875,0.875
WoeUSB-ng,0.0,0.0,2,2,1,0.0,1.0,0.0
acme-nosudo,0,0.0,0,0,0,0.0,0.0,0.0
acme-tiny,0.48148148148148145,0.0,0,0,0,0.0,0.0,0.0
android-resource-remover,0.4583333333333333,0.0,6,5,4,0.7826941568258928,0.375,1.0
attention,0,0.0,0,2,0,0.0,0.0,0.0
audible-activator,0.4640522875816993,0.0,17,2,2,0.0,0.0,0.0
audiogrep,0.48148148148148145,0.0,2,2,1,0.0,0.0,1.0
awesome-sentence-embedding,0,0.0,0,3,0,0.0,0.0,0.0
batch-ppo,0.48148148148148145,0.0,46,5,4,0.643054344667248,0.5,0.0
biaxial-rnn-music-composition,0,0.0,0,3,0,0.0,0.0,0.0
binance-trade-bot,0.4640522875816993,0.0,72,17,15,0.0,0.0,0.9333333333333333
boom,0.0,0.0,30,10,6,0.0,0.0,0.5
cnnimageretrieval-pytorch,0.4577777777777778,0.0,2,5,2,0.7964590964590965,0.0,1.0
credstash,0.0,0.0,16,8,5,0.0,0.0,0.0
d3py,0.5277777777777778,0.0,5,18,4,0.460691823899371,0.125,0.0
data_hacks,0.4777777777777778,0.0,1,1,0,0.0,0.0,0.0
deep-learning-project-template,0.5888888888888889,0.0,70,12,12,0.0,0.0,0.08333333333333333
defx.nvim,0.0,0.0,19,6,5,0.0,0.0,0.0
django-devserver,0.46527777777777773,0.0,6,7,5,0.491410998761271,0.3,0.0
django-socketio,0.4666666666666666,0.0,14,5,4,0.5866924837176554,0.25,0.0
dockerizing-django,0.0,0.0,4,2,2,0.8067926225820963,0.75,0.0
evillimiter,0.0,0.0,7,7,6,0.42389048531289913,0.6666666666666666,0.0
faceswap,0,0.0,0,3,0,0.0,0.0,0.0
fbs-tutorial,0,0.0,0,3,0,0.0,0.0,0.0
flask-graphql,0.47008547008547,0.0,13,7,3,0.595959595959596,0.6666666666666666,0.0
fuck12306,0,0.0,0,4,0,0.0,0.0,0.0
gain,0.5277777777777778,0.0,15,6,4,0.4022752192982456,0.625,0.0
gcForest,0.0,0.0,46,10,10,0.0,0.0,0.0
gitosis,0.0,0.0,2,2,1,0.0,0.0,0.0
google-images-download,0.4595959595959596,0.0,16,1,1,0.0,0.0,0.0
gradify,0,0.0,0,1,0,0.0,0.0,0.0
gxgk-wechat-server,0.0,0.0,277,21,19,0.5031775380272334,0.3157894736842105,1.0
hackingtool,0.47474747474747475,0.0,16,4,4,0.0,0.0,0.0
handout,0.4920634920634921,0.0,4,3,2,0.9099099099099099,0.5,0.0
hashids-python,0.6031746031746031,0.0,4,2,1,0.0,0.0,0.0
hayaku,0,0.0,0,2,0,0.0,0.0,0.0
huepy,0.5111111111111111,0.0,1,4,0,0.0,0.0,0.0
hyperas,0.4920634920634921,0.0,118,16,11,0.37646071792413255,0.2727272727272727,0.048484848484848485
iOS-Universal-Framework,0,0.0,0,0,0,0.0,0.0,0.0
ibrute,0,0.0,0,2,0,0.0,0.0,0.0
iqhelp,0.0,0.0,74,69,66,0.5980436333609855,0.6439393939393939,0.0
jd-autobuy,0,0.0,0,2,0,0.0,0.0,0.0
jwt_tool,0.0,0.0,8,5,4,0.392063492063492,0.25,0.0
leapcast,0.6388888888888888,0.0,6,4,2,0.0,0.0,0.0
lemongraph,0.0,0.0,6,9,6,0.8000979067621038,0.75,0.0
logster,0.0,0.0,3,2,1,0.8064516129032259,0.0,0.0
objc_dep,0,0.0,0,1,0,0.0,0.0,0.0
pew,0.0,0.0,15,6,6,0.0,0.0,0.0
pinject,0.4920634920634921,0.0,10,6,5,0.0,0.0,0.0
pipreqs,0.6507936507936508,0.0,12,3,2,0.0,0.0,1.0
pointer-generator,0,0.0,0,3,0,0.0,0.0,0.0
pretrained-models.pytorch,0.4155555555555555,0.0,30,12,8,0.0,0.0,0.0
python-broadlink,0.46527777777777773,0.0,5,2,1,0.0,0.0,1.0
python-elevator-challenge,0,0.0,0,0,0,0.0,0.0,0.0
python-recsys,0.47008547008547,0.0,6,8,6,0.7114706281372948,0.25,0.0
python-scripts,0.4682539682539682,0.0,5,12,5,0.4801280663780664,0.7,1.0
python_koans,0,0.0,0,8,0,0.0,0.0,0.0
quandl-python,0.6068376068376068,0.0,15,21,8,0.0,0.0,0.0
redis-rdb-tools,0.0,0.0,4,3,1,0.7948717948717948,1.0,0.0
rockstar,0.0,0.0,5,3,2,0.0,0.0,0.0
samplemod,0.6296296296296297,0.0,23,3,2,0.0,0.0,0.0
say_what,0,0.0,0,4,0,0.0,0.0,0.0
schedule,0.0,0.0,0,0,0,0.0,0.0,0.0
seamless_communication,0.4595959595959596,0.0,25,19,8,0.3415484074424472,0.25,0.007291666666666666
skip-thoughts,0,0.0,0,9,0,0.0,0.0,0.0
sotawhat,0.4861111111111111,0.0,8,4,3,0.0,0.0,0.0
speedtest-cli,0.47008547008547,0.0,1,1,0,0.0,0.0,0.0
sublime-jsdocs,0,0.0,0,1,0,0.0,0.0,0.0
tensorflow-vgg,0,0.0,0,3,0,0.0,0.0,0.0
tf-coreml,0.0,0.0,5,11,5,0.8332673662307404,0.6,0.0
tinychain,0.0,0.0,8,5,5,0.0,0.0,1.0
trfl,0.0,0.0,10,6,4,0.8944328944328945,0.75,0.0
uiautomator2,0.47222222222222215,0.0,29,29,13,0.0,0.0,0.0
weibo_terminater,0.0,0.0,13,15,13,0.5627659303062529,0.5128205128205129,0.07692307692307693
whereami,0.0,0.0,8,10,5,0.0,0.0,0.0
word2vec-api,0.0,0.0,16,5,5,0.0,0.0,0.8
xmltodict,0.0,0.0,1,2,0,0.0,0.0,0.0
youtube-8m,0,0.0,2,6,0,0.0,0.0,0.0
zzzzz,0.0,0.0,6,7,6,0.13174603174603175,0.16666666666666666,0.9967032967032967
