tools,repo_name_meta,repo_version,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
syft+gh-sbom,0.0,0.0,0.0817,0.0,0.2014,0.1811,0.0,0.0012,0.1837
syft+ort,0.0,0.0,0.0118,0.0,0.0,0.025,0.0,0.0,0.0307
syft+scancode,0.0,0.0,0.0053,0.0042,0.0665,0.0515,0.0,0.0076,0.0439
syft+cdxgen,0.1178,0.0,0.1066,0.0004,0.2806,0.2344,0.0,0.0011,0.2808
gh-sbom+ort,0.0,0.0,0.0487,0.0,0.0,0.0966,0.0,0.019,0.0868
gh-sbom+scancode,0.0,0.0,0.0021,0.0,0.0417,0.025,0.0,0.0026,0.0306
gh-sbom+cdxgen,0.0,0.0,0.4393,0.0,0.4282,0.7393,0.0,0.0172,0.6725
ort+scancode,0.0,0.0,0.0012,0.0,0.0,0.0034,0.0,0.0034,0.0035
ort+cdxgen,0.0,0.0,0.0296,0.0,0.0,0.0508,0.0,0.0026,0.0579
scancode+cdxgen,0.0,0.0,0.0102,0.0056,0.0973,0.0628,0.0,0.0068,0.0424
